hgnc_symbol,gene_gencodeV33,hek293Texpr,bait100,prey100,asd102_satterstrom2020,asd255_fu2022,asd134_trost2022,asd72_zhou2022,dd285_kaplanis2020,scz34_singh2022,sfari_all,sfari_s,sfari_tier1,sfari_tier1s,sfari_tier2,sfari_tier3,satterstrom2020gene,fu2022gene,zhou2022gene,kaplanis2020gene,singh2022gene,fuSatterstrom,zhouSatterstrom,kaplanisSatterstrom,singhSatterstrom
EIF4ENIF1,EIF4ENIF1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
TMEM209,TMEM209,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1
NUP98,NUP98,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KIF21A,KIF21A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1
COL18A1,COL18A1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1
PLEKHA7,PLEKHA7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1
DCAF8,DCAF8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
CUL2,CUL2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
DCAF5,DCAF5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
PRRC2A,PRRC2A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
CAPN2,CAPN2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1
USP7,USP7,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
DDB1,DDB1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
RNH1,RNH1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1
PRPF6,PRPF6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1
NUP43,NUP43,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1
SDF4,SDF4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1
