"geneset","nBait","mean.pval","median.pval","median.CIlower","median.CIupper","nIter","num","sd.pval","se.pval","mean.OR","median.OR","min.OR","sd.OR","se.OR","SElower.OR","SEupper.OR","SElower.pval","SEupper.pval","SDupper.OR","SDlower.OR","log10.median.pval","log10.SElower.pval","log10.SEupper.pval"
"exomeMinusPreyASD102",51,0.0130217434334601,0.0123469363672595,1.0428453781066,1.31888764869654,1000,1000,0.00513655334163849,0.000162432078825266,1.17307418521474,1.1726917371095,1.1405667437406,0.0124524075536553,0.000393779702222361,1.17229795740728,1.17229795740728,0.0121845042884343,0.0125093684460848,1.17229795740728,1.17229795740728,1.9084407900845,1.91419213485651,1.90276461575054
"exomeMinusPreyASD102",52,0.0134911136999136,0.0125523143452954,1.04236527333454,1.31829754553717,1000,1000,0.00540824337173056,0.000171023671951773,1.17198505720065,1.17209974291903,1.13440298641262,0.0124711084044161,0.000394371075048233,1.17170537184399,1.17170537184399,0.0123812906733436,0.0127233380172472,1.17170537184399,1.17170537184399,1.90127619332824,1.90723408042947,1.89539893489127
"exomeMinusPreyASD102",53,0.0136636403930834,0.0127879332514874,1.04188075485499,1.31738112248726,1000,1000,0.00546733220887174,0.000172892225048341,1.1716277285207,1.17147501095335,1.13587588911052,0.0126017325008266,0.000398501771667819,1.17107650918169,1.17107650918169,0.012615041026439,0.0129608254765357,1.17107650918169,1.17107650918169,1.89319963925884,1.89911133273839,1.88736733731668
"exomeMinusPreyASD102",54,0.0140289755958635,0.0130445016978407,1.04130641697511,1.31678206145575,1000,1000,0.00547918507052412,0.000173267045444465,1.17075166707754,1.17087773468921,1.13648251907128,0.0125469394975083,0.000396769064764549,1.17048096562445,1.17048096562445,0.0128712346523962,0.0132177687432852,1.17048096562445,1.17048096562445,1.88457250636917,1.89037979210068,1.87884185077046
"exomeMinusPreyASD102",55,0.0141578834112044,0.0134832992944962,1.04028978098432,1.3156861616545,1000,1000,0.00533436839509944,0.000168687540069312,1.17039920717475,1.16997362207728,1.13614065993198,0.0124168332555579,0.000392654744140864,1.16958096733314,1.16958096733314,0.0133146117544268,0.0136519868345655,1.16958096733314,1.16958096733314,1.8702038251544,1.87567149279007,1.86480413920957
"exomeMinusPreyASD102",56,0.0142613232614636,0.0134055136887147,1.04047555241525,1.3156861616545,1000,1000,0.00550869997010164,0.000174200388520226,1.17021116390519,1.16997362207728,1.13734998244686,0.0124041443660106,0.000392253486221388,1.16958136859106,1.16958136859106,0.0132313133001944,0.0135797140772349,1.16958136859106,1.16958136859106,1.87271653954013,1.8783970469145,1.86710937408986
"exomeMinusPreyASD102",57,0.0146929351199685,0.0136137466157324,1.0400889609192,1.31554038805122,1000,1000,0.0053796391434795,0.000170119126831926,1.16907362686546,1.16968091534687,1.13734998244686,0.0118238266082933,0.000373902227411103,1.16930701311946,1.16930701311946,0.0134436274889005,0.0137838657425643,1.16930701311946,1.16930701311946,1.86602233691148,1.87148352995415,1.86062896564908
"exomeMinusPreyASD102",58,0.0153441795648715,0.01463624284884,1.03806129514473,1.3129721727692,1000,1000,0.00600708096123606,0.000189960579265396,1.16795720802268,1.16742864376792,1.13241899410959,0.0126818733168734,0.000401036046790343,1.16702760772113,1.16702760772113,0.0144462822695747,0.0148262034281054,1.16702760772113,1.16702760772113,1.83457039318405,1.84024390360275,1.82897004528418
"exomeMinusPreyASD102",59,0.0155743502633693,0.0149917023028834,1.03738165790145,1.31229390569734,1000,1000,0.00554490257602674,0.000175345215439795,1.16715333223902,1.16669450796635,1.13587588911052,0.0116583980843953,0.000368670918156331,1.16632583704819,1.16632583704819,0.0148163570874436,0.0151670475183231,1.16632583704819,1.16632583704819,1.82414905035562,1.82925856365097,1.81909895258808
"exomeMinusPreyASD102",60,0.0155053725195723,0.0144566727336843,1.03835698652917,1.31337325135288,1000,1000,0.00570870970202105,0.000180525251590877,1.16740485243603,1.16760240354895,1.13674447747204,0.0118949606677807,0.000376151683883044,1.16722625186507,1.16722625186507,0.0142761474820934,0.0146371979852751,1.16722625186507,1.16722625186507,1.83993165031093,1.84538897414251,1.83454205278596
